Claim Text,Source of Verification,url,Given Label,Filtered Label
Washing hands with soap kills coronavirus,altnews.in,https://www.altnews.in/thorough-hand-washing-with-an-ordinary-soap-is-effective-in-killing-coronavirus-covid-19/,True,true
"Glenmark Pharmaceuticals received approvals from Drug Controller General of India to manufacture and market Favipiravir, an anti-viral drug, to treat COVID-19 patients.",thelogicalindian.com,https://thelogicalindian.com/fact-check/glenmark-pharmaceuticals-drug-controller-general-of-india-favipiravir-anti-viral-covid-19-21843,True,true
"In COVID-19 crisis, “only 20% of African Americans had jobs where they could work from home.”",politifact.com,https://www.politifact.com/factchecks/2020/jun/16/desiree-rogers/blacks-hispanics-less-likely-have-jobs-where-they-/,True,true
A video shows a group of people celebrating the end of COVID-19 restrictions in New Zealand.,snopes.com,https://www.snopes.com/fact-check/new-zealand-virus-restrictions/,True,true
An image shows a restaurant receipt displaying a 5% COVID-19 surcharge.,snopes.com,https://www.snopes.com/fact-check/covid-surcharge-restaurant/,True,true
"U.S. President Donald Trump implied the Obama administration left behind ""bad,"" ""broken,"" and ""obsolete"" COVID-19 diagnostic tests.",snopes.com,https://www.snopes.com/fact-check/trump-blame-obama-covid-tests/,True,true
"A photograph shows a ""Your Health Is Not More Important Than My Liberties!"" message displayed on an automobile window at a protest calling for the loosening of COVID-19 social-distancing restrictions.",snopes.com,https://www.snopes.com/fact-check/lockdown-protest-car-message/,True,true
A photograph shows protesters displaying an anti-Semitic sign during a COVID-19 lockdown protest.,snopes.com,https://www.snopes.com/fact-check/anti-semitic-lockdown-protest/,True,true
A photograph shows a group of people outside of the Ohio Statehouse protesting shelter-in-place laws put in place during the COVID-19 pandemic.,snopes.com,https://www.snopes.com/fact-check/shaun-of-the-dead-protesters/,True,true
Washing your hands helps prevent the spread of COVID-19.,sites.nationalacademies.org,https://sites.nationalacademies.org/BasedOnScience/Prevent-the-spread-of-COVID-19-by-washing-your-hands-often/index.htm,True,true
U.S. President Donald Trump's name will appear on COVID-19 stimulus checks.,snopes.com,https://www.snopes.com/fact-check/trumps-name-stimulus-checks/,True,true
"The Empire State Building displayed a red and white ""siren"" light during the COVID-19 pandemic.",snopes.com,https://www.snopes.com/fact-check/empire-state-building-coronavirus/,True,true
"“In Serbia, the #Covid19 curfew means we can’t walk our dogs for up to 14 hours at a time. It causes so much unnecessary suffering.”",polygraph.info,https://www.polygraph.info/a/serbia-covid-19-dog-ban-fact-check/30518552.html,True,true
Amazon solicited donations from the public to pay sick leave to contractors and seasonal workers during the COVID-19 pandemic.,snopes.com,https://www.snopes.com/fact-check/amazon-donations-sick-leave/,True,true
The first cases of COVID-19 were reported in the United States and South Korea on the same day.,snopes.com,https://www.snopes.com/fact-check/covid-19-discovered-us-south-korea/,True,true
"A photograph shows a protester against pandemic stay-at-home orders holding a sign declaring that ""muzzles are for dogs and slaves.""",snopes.com,https://www.snopes.com/fact-check/muzzle-protest-sign/,True,true
NAIAD director Dr. Anthony Fauci warned in January 2017 that the Trump administration would face a surprise infectious disease outbreak.,snopes.com,https://www.snopes.com/fact-check/fauci-warn-surprise-outbreak/,True,true
Woodstock took place in the middle of a pandemic,usatoday.com,https://www.usatoday.com/story/news/factcheck/2020/05/12/fact-check-did-woodstock-take-place-middle-pandemic/3094481001/,True,true
A video clip shows former President Barack Obama stressing the need for U.S. pandemic preparedness in 2014.,snopes.com,https://www.snopes.com/fact-check/obama-pandemic-preparedness-2014/,True,true
Time magazine covers from 2006 and 2017 highlighted articles warning about global warming and a pandemic.,snopes.com,https://www.snopes.com/fact-check/time-magazine-cover-warnings/,True,true
Experts and officials warned in 2018 that the U.S. government would be unable to respond effectively to a pandemic.,snopes.com,https://www.snopes.com/fact-check/experts-officials-pandemic-2018/,True,true
"A newspaper clipping from 1918 documents a ""public notice"" from the city of Kelowna, British Columbia, announcing that schools, movie theaters, and other public places would be closed to prevent the spread of ""Spanish Influenza.""",snopes.com,https://www.snopes.com/fact-check/closures-during-spanish-flu/,True,true
The 1918 flu pandemic became known as the “Spanish flu” because wartime censors minimized reports of the illness while the Spanish press did not,usatoday.com,https://www.usatoday.com/story/news/factcheck/2020/03/23/fact-check-how-did-1918-pandemic-get-name-spanish-flu/2895617001/,True,true
"Images shared in March 2020 showed a convoy of military trucks transporting bodies away from an over-subscribed crematorium in Bergamo, Italy.",snopes.com,https://www.snopes.com/fact-check/italy-army-coffins-coronavirus/,True,true
Coronavirus is an artificial virus,thequint.com,https://www.thequint.com/news/webqoof/gadkari-calls-covid-an-artificial-virus-but-wheres-the-evidence,False,false
The first volunteer to take the human trial vaccine for coronavirus in the UK has died.,indiatoday.in,https://www.indiatoday.in/fact-check/story/first-volunteer-uk-corona-vaccine-trial-alive-and-kicking-1671426-2020-04-26,False,false
Gargling With Saltwater Or Vinegar Will Kill The Novel Coronavirus,thelogicalindian.com,https://thelogicalindian.com/fact-check/corona-outbreak-gargling-myths-20198,False,false
Netflix show ‘My Secret Terrius’ predicted the Coronavirus pandemic in 2018.,thelogicalindian.com,https://thelogicalindian.com/fact-check/korean-tv-series-prediction-coronavirus-outbreak-covid-19-20359,Misleading,false
"Professor Dr Tasuku Honjo, caused a sensation today in the media by saying that the corona virus is not natural.",fullfact.org,https://fullfact.org/online/tasuku-honjo-coronavirus/,Incorrect. Professor Honjo has denied saying this and there is no evidence that he ever did.,false
Dettol antiseptic spray says it kills coronavirus.,thelogicalindian.com,https://thelogicalindian.com/fact-check/dettol-covid-19-coronavirus-outbreak-20251,Misleading,false
"Video shows a female police constable suffering from Coronavirus waiting for an ambulance near RK Hotel, Grant Road, Mumbai.",boomlive.in,https://www.boomlive.in/fake-news/policewoman-seen-feeling-dizzy-tested-negative-for-covid-19-mumbai-police-8238,Misleading,false
Video shows a man in distress due to COVID-19,thelogicalindian.com,https://thelogicalindian.com/fact-check/covid-19-coronavirus-fake-video-seizures-20644,False,false
"Tasuku Honjo, Japan-based 2018 Nobel laureate, said that coronavirus is not natural",altnews.in,https://www.altnews.in/false-quote-suggests-japanese-nobel-laureate-tasuku-honjo-said-coronavirus-is-man-made/,False,false
Novel coronavirus can be transmitted by houseflies.,thelogicalindian.com,https://thelogicalindian.com/fact-check/houseflies-covid-19-coronavirus-amitabh-bachchan-20372,Misleading,false
"(1) Italy went against the WHO, saying no autopsies on COVID-19 casualties (2) Italy has apparently discovered that the microorganism which causes COVID-19 is a bacteria and not a Virus. This bacteria is responsible for clotting blood and hindering the transport of oxygen throughout the body. (3) Italy started using 100mg of Aspirin for treating COVID-19 patients (4) The causal organism worsens with 5G electronic radiation",thelogicalindian.com,https://thelogicalindian.com/fact-check/italy-covid-19-coronavirus-bacteria-aspirin-21655,Misleading,false
A virus found affecting tomatoes in Maharashtra could be more dangerous than coronavirus and can kill humans.,thequint.com,https://www.thequint.com/news/webqoof/tv9-bharatvarsh-falsely-claims-virus-found-affecting-tomatoes-more-dangerous-than-covid-19,False,false
Delhi government has asked doctors on coronavirus duty to pay their own hotel bills.,indiatoday.in,https://www.indiatoday.in/fact-check/story/has-delhi-govt-asked-docs-on-corona-duty-to-foot-their-own-hotel-bills-1672230-2020-04-28,False,false
Post claims that RSS chief Mohan Bhagwat said the COVID-19 shook his faith in religion,boomlive.in,https://www.boomlive.in/fake-news/no-rss-chief-mohan-bhagwat-did-not-say-covid-19-shook-his-faith-8182,False,false
Sales of Corona beer have dropped in the U.S. because of the new coronavirus.,factcheck.org,https://www.factcheck.org/2020/03/coronavirus-fears-havent-sunk-sales-of-corona-beer-in-u-s/,False,false
"Coronavirus lives on the hands for 10 minutes, but can be prevented with alcohol hand sanitiser.",fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,"It’s not clear how long the virus can ‘survive’ on hands, but hand sanitiser with at least 60% alcohol is a good second choice to washing your hands with soap and water.",false
Gargling with warm and salt water kills germs on the tonsils and prevents them from leaking into the lungs.,fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,There’s no evidence gargling with saline will cure or prevent Covid-19.,false
"If the new coronavirus is exposed to a temperature of 26-27ºC it will be killed, as it does not live in hot regions. Also drinking hot water and sun exposure will do the trick and staying away from ice cream and cold food is advised.",fullfact.org,https://fullfact.org/health/coronavirus-graphics-unicef/,"There have been cases of Covid-19 in areas with warmer temperatures than this, and we don’t know what temperatures the virus can withstand. There’s no evidence that hot water and the sun will cure it or that staying away from cold food can prevent it.",false
Can wearing masks be dangerous,thequint.com,https://www.thequint.com/news/webqoof/confused-about-wearing-masks-for-covid-here-is-what-experts-say,False,false
5G technology is spreading coronavirus,bbc.com,https://www.bbc.com/news/52168096,These claims are false,false
Drinking tea can cure COVID-19,thelogicalindian.com,https://thelogicalindian.com/fact-check/tea-cure-coronavirus-covid-19-whatsapp-forward-20328,Misleading,false
"A viral image suggests a ""Canine Coronavirus Vaccine"" means a vaccine for the novel coronavirus already exists.",factcheck.org,https://www.factcheck.org/2020/04/facebook-users-wrongly-tie-dog-vaccine-to-novel-coronavirus/,False,false
Chicken infected with Coronavirus was found in Bangalore.,thelogicalindian.com,https://thelogicalindian.com/fact-check/bangalore-coronavirus-broiler-chicken-19700,Misleading,false
"Crop circle that appeared recently shows the Microsoft logo in a coronavirus outline, hinting at a link between Bill Gates and the virus.",indiatoday.in,https://www.indiatoday.in/fact-check/story/another-social-media-conspiracy-linking-bill-gates-to-coronavirus-surfaces-1675497-2020-05-07,False,false
Video of coronavirus policeman found at Bihar's Hajipur jail,altnews.in,https://www.altnews.in/video-of-a-mock-drill-organised-in-hajipur-jail-being-circulated-as-that-of-an-actual-patient-infected-with-coronavirus/,False,false
"1.Dr Gauden Galea, WHO representative has stated that vegetarians will not be at risk of infection (from Coronavirus) 2. WHO report says no vegetarian person in the world has been found to have coronavirus.",thelogicalindian.com,https://thelogicalindian.com/fact-check/who-dr-gauden-galea-meat-covid-19-coronavirus-vegetarian-20925,Misleading,false
Mohan Bhagwat - 'Corona has broken faith in my religion',factly.in,https://factly.in/mohan-bhagwat-has-not-said-that-corona-has-broken-his-faith-in-religion/,FALSE,false
22 preventive measures against coronavirus prescribed by Dr Devi Shetty,thequint.com,https://www.thequint.com/news/webqoof/viral-post-on-dr-devi-shettys-22-steps-against-covid-19-is-fake,False,false
Gargling water mixed with salt or vinegar eliminates the new coronavirus from your throat.,fullfact.org,https://fullfact.org/health/gargle-salt-vinegar-water-coronavirus/,There is no evidence for this.,false
Drinking lots of water will eliminate the new coronavirus from your throat.,fullfact.org,https://fullfact.org/health/gargle-salt-vinegar-water-coronavirus/,There is no evidence for this. It is a common myth.,false
"""Covid19 is a bacterium, easily treated with aspirin and coagulant.""",factcheck.org,https://www.factcheck.org/2020/05/covid-19-isnt-caused-by-bacteria/,False,false
Dr Devi Shetty and ICMR has advised a list of over 22 precautionary steps gainst COVID-19 for the next year.,thelogicalindian.com,https://thelogicalindian.com/fact-check/dr-devi-shetty-icmr-precautionary-steps-covid-19-21058,False,false
96.3% of the Italy’s Covid-19 deaths were actually caused by other diseases.,fullfact.org,https://fullfact.org/health/sgarbi-coronavirus/,This is incorrect. Official data shows that 96.3% of Covid-19 patients had other health conditions when they died.,false
Mumbai Police woman constable who has caught coronavirus.,thequint.com,https://www.thequint.com/news/webqoof/mumbai-police-woman-constable-not-suffering-from-coronavirus-fake-claim-fact-check,False,false
"A video shows that ""Bill Gates admits the vaccine will no doubt kill 700,000 people""",bbc.com,https://www.bbc.com/news/52847648,"This is false and misrepresents Mr Gates' words. He does not ""admit"" 700,000 will die from a vaccine.",false
The coronavirus pandemic is a cover for a plan to implant trackable microchips and that the Microsoft co-founder Bill Gates is behind it.,bbc.com,https://www.bbc.com/news/52847648,We found no evidence to support this claim,false
PM Modi said that 1 crore corona patients have been treated for free,altnews.in,https://www.altnews.in/no-pm-modi-did-not-claim-1-crore-coronavirus-patients-have-been-treated-for-free-in-india/,False,false
Drinking alcohol can protect you from Covid-19,bbc.com,https://www.bbc.com/news/world-africa-51710617,This is misleading. Drinking alcohol does not protect you against the coronavirus,false
Inhale steam to kill coronavirus,bbc.com,https://www.bbc.com/news/world-africa-51710617,This is misleading advice and inhaling steam is potentially very dangerous. Water vapour rising from a boiling pan would be quickly cooled as it enters the body and not be hot enough to have an effect against the virus.,false
Photo shows mother infected with COVID-19 with her child before she dies,boomlive.in,https://www.boomlive.in/fake-news/image-of-infant-at-a-cancer-treatment-center-revived-with-covid-19-spin-7781,False,false
A 26-member Muslim family in Jahangirpuri tested for coronavirus,altnews.in,https://www.altnews.in/fact-check-did-a-26-member-muslim-family-test-positive-in-delhis-jahangirpuri/,False,false
Eating foods with a pH level above that of coronavirus could cure or prevent infection.,boomlive.in,https://www.boomlive.in/world/can-eating-alkaline-foods-prevent-or-cure-covid-19-a-fact-check-7917,False,false
खत्म हो गई आस्था : भागवत का हुआ हृदय परिवर्तन,vishvasnews.com,https://www.vishvasnews.com/english/politics/fact-check-rss-chief-mohan-bhagwat-did-not-say-he-has-lost-faith-in-religion-due-to-corona/,False,false
You’re more likely to drown than die from Covid-19.,fullfact.org,https://fullfact.org/health/its-not-right-youre-more-likely-drown-die-covid-19-if-youre-under-60-no-health-problems/,"This is not a valid comparison to make, and the figures it’s based on aren’t accurate.",false
How many who have no other morbidities under the age of 60 have died from this Covid-19? 350,fullfact.org,https://fullfact.org/health/its-not-right-youre-more-likely-drown-die-covid-19-if-youre-under-60-no-health-problems/,The latest NHS figures for England show that 253 people under the age of 60 with no underlying health conditions have died from Covid-19 in hospitals.,false
COVID-19 patient found in Bihar's Hajipur Jail,thequint.com,https://www.thequint.com/news/webqoof/covid-19-case-in-bihars-hajipur-jail-mock-drill-video-shared-fact-check,False,false
"India will go into lock-down for two months from April 15, 2020, to June 15 2020.",thelogicalindian.com,https://thelogicalindian.com/fact-check/covid-19-whatsapp-viral-audia-lockdown-coronavirus-outbreak-20253,False,false
News clipping claims that a sadhu spread coronavirus to 300 people in Jaipur.,boomlive.in,https://www.boomlive.in/fake-news/false-300-positive-covid-19-cases-in-jaipur-after-smoking-chillum-8039,False,false
Mohan Bhagwat says he has lost faith in religion over the coronavirus crisis.,thequint.com,https://www.thequint.com/news/webqoof/mohan-bhagat-didnt-say-hes-lost-faith-in-religion-amid-covid-19-fact-check,False,false
IAF chopper showering petals for corona warriors,altnews.in,https://www.altnews.in/photo-from-2018-passed-off-as-showering-of-flower-petals-as-recent-tribute-to-corona-warriors/,False,false
"Some 150 foreigners attended Sadhguru's event in March, which has led to over 1,000 corona cases in Tamil Nadu. The foreigners are quarantined at Isha Yoga Center.",indiatoday.in,https://www.indiatoday.in/fact-check/story/viral-post-claims-sadhguru-event-spread-coronavirus-tamil-nadu-1673978-2020-05-03,False,false
"New mysterious virus attacking tomatoes is linked to the coronavirus, can be transmitted to humans upon consumption.",boomlive.in,https://www.boomlive.in/fake-news/tv9-bharatvarsh-falsely-links-mystery-virus-in-tomatoes-to-coronavirus-8125,False,false
"Inhaling steam over 100°C will “disintegrate” the coronavirus, because it is “fat”.",africacheck.org,https://africacheck.org/reports/fact-checking-tanzanian-president-john-magufuli-on-inhaling-steam-to-treat-covid-19/,Incorrect,false
Nobel laureate Dr Tasuku Honjo has mentioned that the coronavirus is not natural and that he has worked in a laboratory in Wuhan.,thelogicalindian.com,https://thelogicalindian.com/fact-check/nobel-laureate-dr-tasuku-honjo-coronavirus-not-natural-laboratory-wuhan-20891,Misleading,false
"Novel coronavirus is a virus, not a bacterium easily treated with aspirin",usatoday.com,https://www.usatoday.com/story/news/factcheck/2020/05/29/fact-check-covid-19-caused-virus-not-bacteria/5277398002/,False,false
Video Shows A Constable In Bihars Hajipur Jail Got Coronavirus,boomlive.in,https://www.boomlive.in/fake-news/mock-drill-video-from-bihar-on-covid-19-preparedness-shared-as-real-7674,False,false
Patients are being killed in hospitals to show a surge in coronavirus deaths,altnews.in,https://www.altnews.in/unrelated-video-falsely-viral-as-hospital-murders-patient-to-show-surge-in-coronavirus-deaths/,False,false
"Coronavirus has been ""found in crab leg.""",factcheck.org,https://www.factcheck.org/2020/03/coronavirus-hasnt-contaminated-crab-legs/,False,false
Charles Lieber arrested for manufacturing and selling coronavirus to China,thequint.com,https://www.thequint.com/news/webqoof/covid-19-fact-check-no-a-us-professor-was-not-arrested-for-selling-coronavirus-to-china,False,false
"“Corona is so bad, this guy died twice!”",politifact.com,https://www.politifact.com/factchecks/2020/apr/15/viral-image/these-headlines-dont-prove-fake-news-about-covid-1/,False,false
Says the April 22 jump in COVID-19 cases was related to the election.,politifact.com,https://www.politifact.com/factchecks/2020/apr/24/chris-larson/chris-larson-has-no-basis-connect-spike-new-corona/,False,false
Indian Council of Medical Research research shows 0.8m Indians would have caught coronavirus if the lockdown hadn't been imposed,bbc.co.uk,https://www.bbc.co.uk/news/world-asia-india-51910099,False. the Indian Health Ministry says there's no such study,false
Ratan Tata said economy will bounce back after coronavirus,thequint.com,https://www.thequint.com/news/webqoof/ratan-tata-coronavirus-indian-economy-post-fake-news,False,false
Post Claims Interview Of HDFC Bank MD Aditya Puri About Why India Will Survive COVID-19 And Make It Big,boomlive.in,https://www.boomlive.in/fake-news/false-viral-message-claiming-hdfc-bank-md-aditya-puris-views-on-covid-19-7787,False,false
A vaccine for coronavirus was made in 2001.,fullfact.org,https://fullfact.org/online/dog-vaccine-coronavirus/,The vaccine pictured is one for dogs for canine coronavirus. It does not protect against Covid-19 and is not for humans.,false
"The 2011 movie ""Captain America"" predicted the coronavirus pandemic.",snopes.com,https://www.snopes.com/fact-check/captain-america-coronavirus-pandemic/,False,false
"If one applies mustard oil through their nostril, coronavirus would flow into one’s stomach and be killed by the acids present there",thequint.com,https://www.thequint.com/news/webqoof/no-medical-evidence-for-baba-ramdevs-claim-about-coronavirus-mustard-oil-and-holding-breath-fact-check,False,false
18 nations including USA and UK want PM Modi to lead a coronavirus task force,altnews.in,https://www.altnews.in/no-us-and-uk-have-not-selected-pm-modi-to-lead-a-coronavirus-task-force/,False,false
Video of 'Corona Jihadis' arrested by UP Police at Ayodhya's Chor Bazaar,altnews.in,https://www.altnews.in/video-of-ayodhya-police-mockdrill-falsely-shared-as-corona-jihadis-caught-by-up-police/,False,false
"Kalonji or Nigella Sativa seeds have 100 per cent hydroxychloroquine, and its consumption with honey can prevent coronavirus.",thelogicalindian.com,https://thelogicalindian.com/fact-check/kalongi-seeds-honey-covid-19-hydroxychloroquine-20663,Misleading,false
India is leading a coronavirus task force consisting of 18 countries,boomlive.in,https://www.boomlive.in/fake-news/false-us-uk-asked-pm-modi-to-lead-18-nation-coronavirus-task-force-7475,False,false
People praying at the Hazrat Nizamuddin mosque in Delhi were sneezing on purpose to spread the novel Coronavirus.,thelogicalindian.com,https://thelogicalindian.com/fact-check/covid19-muslim-sneeze-delhi-hazrat-nizamuddin-mosque-20436,Misleading,false
Thrombosis is the leading cause of COVID-19 deaths,boomlive.in,https://www.boomlive.in/fake-news/is-thrombosis-the-leading-cause-of-covid-19-deaths-a-factcheck-7977,Misleading,false
Neem leaves can cure the novel Coronavirus and relieve its symptoms.,boomlive.in,https://www.boomlive.in/world/coronavirus/no-neem-leaves-cannot-treat-the-novel-coronavirus-either-7686,False,false
Muslims licking plates and spoons to spread coronavirus,thequint.com,https://www.thequint.com/news/webqoof/video-of-muslims-licking-plates-to-spread-covid-19-its-a-tradition-fact-check,False,false
Can a WhatsApp Admin Be Arrested for Sharing Info on COVID-19?,thequint.com,https://www.thequint.com/news/webqoof/coronavirus-faq-can-whatsapp-admin-be-arrested-for-covid-19-fake-news,False,false
Video of the final message by Pakistani doctor Usama Riaz who lost his life after contracting the virus while treating coronavirus patients,altnews.in,https://www.altnews.in/vidoe-of-a-corona-virus-patient-named-mubashir-viral-as-that-of-deceased-26-year-old-doctor-riaz/,False,false
Blogpost claims coronavirus outbreak is a cover-up of a bioweapon that leaked in the Wuhan animal market,boomlive.in,https://www.boomlive.in/fake-news/false-chinese-intelligence-officer-reveals-coronavirus-is-a-bioweapon-7224,False,false
Muslim fruit-seller licking fruits to spread coronavirus,altnews.in,https://www.altnews.in/viral-video-of-muslim-vendor-licking-fruits-is-from-mps-raisen-falsely-linked-with-spreading-coronavirus/,False,false
Message Claims Home Ministry Has Declared That Posting On Coronavirus Has Been Declared A Punishable Offense,boomlive.in,https://www.boomlive.in/fake-news/no-home-ministry-has-not-made-sharing-coronavirus-messages-a-punishable-offence-7445,False,false
Burning 130 candles will kill COVID-19 by raising temperature by 9 degrees,thequint.com,https://www.thequint.com/news/webqoof/candle-heat-will-kill-covid-19-fake-claims-viral-after-pms-message,False,false
St. Corona is the patron saint of plagues.,snopes.com,https://www.snopes.com/fact-check/saint-corona-plagues/,False,false
Hold your breath for 10 seconds to check if you have coronavirus or not,indiatoday.in,https://www.indiatoday.in/fact-check/story/fact-check-coronavirus-hold-breath-1658725-2020-03-23,False,false
Newspaper clipping shows Bihar Health Department found Coronavirus in poultry chicken,boomlive.in,https://www.boomlive.in/fake-news/fake-newspaper-clipping-claims-coronavirus-found-in-poultry-in-bihar-7705,False,false
Muslims are injecting spit in fruits,thequint.com,https://www.thequint.com/news/webqoof/delhi-bawana-man-falsely-claimed-to-have-injected-spit-in-fruits-coronavirus,False,false
Newspaper accounts reported two different deaths from COVID-19 for the same person.,snopes.com,https://www.snopes.com/fact-check/covid19-two-deaths/,False,false
18 countries including the UK and the US want Prime Minister Modi to head global coronavirus task force,thequint.com,https://www.thequint.com/news/webqoof/no-modi-is-not-heading-any-international-task-force-on-covid-19-fact-check,False,false
People who drink alcohol will not be infected by the Coronavirus,boomlive.in,https://www.boomlive.in/health/does-drinking-alcohol-prevent-coronavirus-6935,Misleading,false
"Korean drama 'My Secret, Terrius' predicted coronavirus outbreak",altnews.in,https://www.altnews.in/no-korean-drama-my-secret-terrius-did-not-predict-covid-19/,False,false
Lemon And Baking Soda Can Kills Coronavirus,thelogicalindian.com,https://thelogicalindian.com/fact-check/lemon-baking-soda-coronavirus-covid-19-kills-20488,False,false
Dead bodies of patients suffering from COVID-19 are being dumped in the sea.,thelogicalindian.com,https://thelogicalindian.com/fact-check/covid-19-coronavirus-dead-body-sea-dumped-20564,False,false
Vit C and lemon in hot water protect against coronavirus,altnews.in,https://www.altnews.in/no-vitamin-c-and-lemon-infused-hot-water-do-not-protect-against-coronavirus-or-cancer/,False,false
AAJTak has reported that Imran Khans wife has tested positive for coronavirus,boomlive.in,https://www.boomlive.in/fake-news/morphed-aajtak-screenshot-claims-pak-pms-wife-test-covid-19-positive-7633,False,false
"Ratan Tata has claimed experts have predicted the economic downfall, but we will overcome this",indiatoday.in,https://www.indiatoday.in/fact-check/story/fact-check-fake-quote-about-coronavirus-impact-on-economy-attributed-to-ratan-tata-1665669-2020-04-10,False,false
Photographs showing mass deaths due to coronavirus,altnews.in,https://www.altnews.in/old-unrelated-images-shared-as-mass-deaths-due-to-coronavirus/,False,false
"Says ""special military helicopters will spray pesticide against the Corona virus in the skies all over the country.""",politifact.com,https://www.politifact.com/factchecks/2020/mar/24/chain-message/neighbors-app-spreads-false-rumors-about-mi/,False,false
